id,categoria,tela,status,observacao
1,Site / Área pública,Home,GERADA,Registrada como criada no histórico da conversa.
2,Site / Área pública,Como funciona,NÃO GERADA,
3,Site / Área pública,Recursos,NÃO GERADA,
4,Site / Área pública,FLOW AI para pessoas,NÃO GERADA,
5,Site / Área pública,FLOW AI para famílias,NÃO GERADA,
6,Site / Área pública,FLOW AI para empresas,NÃO GERADA,
7,Site / Área pública,Inteligência artificial,NÃO GERADA,
8,Site / Área pública,Memória da FLOW,NÃO GERADA,
9,Site / Área pública,Voz e conversação,NÃO GERADA,
10,Site / Área pública,Visão computacional,NÃO GERADA,
11,Site / Área pública,Automação e ações,NÃO GERADA,
12,Site / Área pública,Casa inteligente,GERADA,Registrada como criada no histórico da conversa.
13,Site / Área pública,Saúde e bem-estar,NÃO GERADA,
14,Site / Área pública,Rotinas,NÃO GERADA,
15,Site / Área pública,Integrações,NÃO GERADA,
16,Site / Área pública,Skills,NÃO GERADA,
17,Site / Área pública,API,NÃO GERADA,
18,Site / Área pública,Segurança,NÃO GERADA,
19,Site / Área pública,Privacidade,NÃO GERADA,
20,Site / Área pública,Planos,GERADA,Registrada como criada no histórico da conversa.
21,Site / Área pública,Comparação de planos,NÃO GERADA,
22,Site / Área pública,FAQ,NÃO GERADA,
23,Site / Área pública,Contato,NÃO GERADA,
24,Site / Área pública,Sobre a FLOW,NÃO GERADA,
25,Site / Área pública,Blog,NÃO GERADA,
26,Site / Área pública,Artigo do blog,NÃO GERADA,
27,Site / Área pública,Termos de uso,NÃO GERADA,
28,Site / Área pública,Política de privacidade,NÃO GERADA,
29,Site / Área pública,Política de cookies,NÃO GERADA,
30,Site / Área pública,Status do sistema,NÃO GERADA,
31,Autenticação,Login,GERADA,Registrada como criada no histórico da conversa.
32,Autenticação,Criar conta,NÃO GERADA,
33,Autenticação,Confirmação de e-mail,NÃO GERADA,
34,Autenticação,Reenviar confirmação,NÃO GERADA,
35,Autenticação,Esqueci minha senha,NÃO GERADA,
36,Autenticação,Redefinir senha,NÃO GERADA,
37,Autenticação,Senha alterada,NÃO GERADA,
38,Autenticação,Conta criada,NÃO GERADA,
39,Autenticação,Conta bloqueada,NÃO GERADA,
40,Autenticação,Conta suspensa,NÃO GERADA,
41,Autenticação,Sessão expirada,NÃO GERADA,
42,Autenticação,Login com Google,NÃO GERADA,
43,Autenticação,Login com Apple,NÃO GERADA,
44,Autenticação,Login com outros provedores,NÃO GERADA,
45,Autenticação,Verificação de segurança,NÃO GERADA,
46,Autenticação,Verificação de identidade,NÃO GERADA,
47,Autenticação,Código de acesso,NÃO GERADA,
48,Autenticação,Recuperação de conta,GERADA,Registrada como criada no histórico da conversa.
49,Onboarding,Boas-vindas,NÃO GERADA,
50,Onboarding,Criar perfil,NÃO GERADA,
51,Onboarding,Nome do usuário,NÃO GERADA,
52,Onboarding,Foto/avatar,NÃO GERADA,
53,Onboarding,Preferência de idioma,NÃO GERADA,
54,Onboarding,Fuso horário,NÃO GERADA,
55,Onboarding,Personalidade da FLOW,NÃO GERADA,
56,Onboarding,Nome da FLOW,NÃO GERADA,
57,Onboarding,Voz da FLOW,NÃO GERADA,
58,Onboarding,Wake Word,NÃO GERADA,
59,Onboarding,Permissões,NÃO GERADA,
60,Onboarding,Microfone,NÃO GERADA,
61,Onboarding,Notificações,NÃO GERADA,
62,Onboarding,Localização,NÃO GERADA,
63,Onboarding,Câmera,NÃO GERADA,
64,Onboarding,Arquivos,NÃO GERADA,
65,Onboarding,Integrações iniciais,NÃO GERADA,
66,Onboarding,Dispositivo principal,NÃO GERADA,
67,Onboarding,Preferências,GERADA,Registrada como criada no histórico da conversa.
68,Onboarding,Objetivos,NÃO GERADA,
69,Onboarding,Finalização do onboarding,NÃO GERADA,
70,Dashboard / Home,Dashboard principal,NÃO GERADA,
71,Dashboard / Home,Dashboard personalizado,NÃO GERADA,
72,Dashboard / Home,Pesquisa global,NÃO GERADA,
73,Dashboard / Home,Central de ações,NÃO GERADA,
74,Dashboard / Home,Atividade recente,NÃO GERADA,
75,Dashboard / Home,Atalhos,NÃO GERADA,
76,Dashboard / Home,Sugestões da FLOW,NÃO GERADA,
77,Dashboard / Home,Favoritos,GERADA,Registrada como criada no histórico da conversa.
78,Dashboard / Home,Itens recentes,NÃO GERADA,
79,Dashboard / Home,Central de notificações,NÃO GERADA,
80,Dashboard / Home,Notificação detalhada,NÃO GERADA,
81,Dashboard / Home,Status da FLOW,NÃO GERADA,
82,Dashboard / Home,FLOW pensando/processando,NÃO GERADA,
83,Dashboard / Home,FLOW ouvindo,NÃO GERADA,
84,Dashboard / Home,FLOW falando,NÃO GERADA,
85,Dashboard / Home,FLOW executando ação,NÃO GERADA,
86,Dashboard / Home,FLOW aguardando confirmação,NÃO GERADA,
87,Chat,Nova conversa,GERADA,Registrada como criada no histórico da conversa.
88,Chat,Conversa em andamento,GERADA,Registrada como criada no histórico da conversa.
89,Chat,Detalhes da conversa,GERADA,Registrada como criada no histórico da conversa.
90,Chat,Pesquisa de conversas,GERADA,Registrada como criada no histórico da conversa.
91,Chat,Renomear conversa,NÃO GERADA,
92,Chat,Arquivar conversa,NÃO GERADA,
93,Chat,Conversas arquivadas,NÃO GERADA,
94,Chat,Excluir conversa,NÃO GERADA,
95,Chat,Confirmar exclusão,NÃO GERADA,
96,Chat,Compartilhar conversa,NÃO GERADA,
97,Chat,Exportar conversa,NÃO GERADA,
98,Chat,Chat vazio,NÃO GERADA,
99,Chat,Chat offline,NÃO GERADA,
